,category,id,latitude,longitude
278,Indian,indian-bento-san-francisco-2,37.787829,-122.396322
279,Grocery,market-mayflower-and-deli-san-francisco,37.789569,-122.413516
280,Bubble Tea,cool-tea-bar-san-francisco-2,37.7944177,-122.4038668
281,Chinese,ling-ling-cuisine-restaurant-san-francisco,37.7298912406,-122.404503375
282,American (Traditional),dotties-true-blue-cafe-san-francisco,37.781705043,-122.40983963
283,Thai,basil-canteen-san-francisco,37.7718850801,-122.413755655
284,Delis,alimento-san-francisco-2,37.799561,-122.409221
285,Grocery,angels-market-san-francisco,37.7482032605,-122.433641553
286,Health Markets,real-food-co-san-francisco-2,37.79796,-122.435505
287,Food Trucks,harveys-gourmet-mini-donuts-treasure-island,37.8222600792,-122.373026032
288,Wine Bars,fat-angel-san-francisco,37.7833198137,-122.433019322
289,Gastropubs,upcider-san-francisco,37.7876998366,-122.419924736
290,Ethiopian,oasis-cafe-san-francisco-3,37.7778538803,-122.438572458
291,Korean,sorabol-korean-restaurant-san-francisco-2,37.7926339433,-122.393028438
292,Seafood,dantes-weird-fish-san-francisco,37.7620656552,-122.419270644
293,Latin American,manos-nouveau-san-francisco-2,37.755403183,-122.417116128
294,Chinese,emmys-restaurant-san-francisco,37.725413,-122.462822
295,French,absinthe-brasserie-and-bar-san-francisco-2,37.7769459039,-122.42280744
296,Specialty Food,mcevoy-ranch-san-francisco-2,37.7954236699,-122.393596172
297,Seafood,pier-23-cafe-san-francisco,37.8034773012,-122.399840355
298,Breakfast & Brunch,big-joes-san-francisco,37.731582,-122.451578
299,Pool Halls,family-billiards-san-francisco,37.782485,-122.449433
300,Grocery,richmond-new-may-wah-supermarket-san-francisco,37.782589,-122.46685
301,Japanese,ks-kitchen-san-francisco,37.731489,-122.452381
302,Grocery,bi-rite-market-san-francisco-3,37.7755079598,-122.437759667
303,Delis,focaccia-market-and-bakery-san-francisco-3,37.7909469604,-122.398635864
304,Diners,big-joes-broiler-no-8-san-bruno-2,37.624242,-122.411388
